class,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
1,0.000283,0.641,177280,0.889,0.000723,1,0.288,-4.302,1,0.028,99.012,4,0.738
1,0.0964,0.728,214853,0.673,6.94e-06,5,0.0695,-5.766,1,0.0318,127.995,4,0.489
1,0.000271,0.496,221293,0.803,7.24e-06,5,0.128,-6.519,1,0.0331,140.538,4,0.656
1,0.00844,0.495,171973,0.839,0.000469,1,0.0939,-7.8,0,0.0377,158.425,4,0.742
1,4.84e-06,0.465,230560,0.847,3.71e-05,11,0.383,-6.353,1,0.0444,136.075,4,0.55
1,1.12e-05,0.179,284693,0.861,0.000148,6,0.1,-5.448,1,0.0402,172.004,4,0.349
1,0.012,0.502,205320,0.715,0.000247,0,0.374,-5.574,1,0.052,126.176,4,0.573
1,0.000155,0.492,142920,0.916,0.224,9,0.0574,-6.079,0,0.101,151.517,4,0.51
1,0.000224,0.401,204096,0.809,0.489,4,0.461,-5.199,1,0.041,171.054,4,0.528
1,0.471,0.663,125267,0.908,0.0,6,0.113,-3.302,1,0.0362,90.929,4,0.657
1,0.0115,0.588,220733,0.803,0.00468,2,0.0592,-7.713,1,0.045,122.496,4,0.589
1,0.0099,0.524,189717,0.894,0.0,4,0.45,-3.806,1,0.0432,92.983,4,0.647
1,0.000682,0.458,254480,0.803,0.000792,9,0.476,-4.039,0,0.0491,150.045,4,0.413
1,0.000876,0.618,228298,0.735,0.00154,11,0.293,-8.052,0,0.026,96.944,4,0.526
1,0.00712,0.619,232867,0.568,0.0,11,0.233,-4.02,1,0.026,100.002,4,0.425
1,0.0332,0.464,242453,0.813,0.000129,11,0.178,-5.787,0,0.0357,92.989,4,0.594
1,0.00126,0.481,248680,0.938,1.54e-05,8,0.269,-3.577,1,0.0587,116.616,4,0.416
1,0.0438,0.45,197172,0.847,0.0,0,0.0999,-4.995,1,0.0452,96.878,4,0.449
1,0.00961,0.558,223547,0.883,0.00103,5,0.0722,-5.588,1,0.0333,128.939,4,0.502
1,0.067,0.4,200227,0.913,2.1e-06,9,0.149,-4.74,1,0.0899,157.084,4,0.366
1,0.0331,0.382,194467,0.887,0.00175,9,0.0796,-5.575,1,0.0616,168.063,4,0.68
